"id","id_dz","id_pyt","pytanie","odpa","odpb","odpc"
1,1,1,"Czy opór elektryczny przewodu zależy od materiału z którego jest wykonany?","zależy","nie zależy","zależy od izolacji przewodu"
2,1,2,"Izolatorami nazywamy materiały które:","nie przewodzą prądu elektrycznego","przewodzą słabo","przewodzą prąd przy wysokim napięciu"
3,1,3,"Który przewód o tej samej długości i przekroju będzie miał największą oporność?","wykonany z aluminium","wykonany z żelaza","wykonany z miedzi"
4,1,4,"Który z materiałów ma własności półprzewodnikowe?","złoto","german","platyna"
5,1,5,"Żarówka 12 V pobiera z baterii 0,1 A. Jaką oporność ma żarówka?","oporność 120 om","oporność 12 om","oporność 1,2 kom"
6,1,6,"Żarówka ma moc 24 W i pobiera z akumulatora 2 A. Jakie jest napięcie akumulatora?","napięcie wynosi 24 V","napięcie wynosi 12 V","napięcie wynosi 48 V"
7,1,7,"Źródła chemiczne prądu dają prąd:","stały","zmienny","pulsujący"
8,1,8,"Akumulator ma pojemność 20 Ah. Jak długo będzie świecić z niego żarówka pobierająca 4 A?","5 godzin","4 godziny","80 godzin"
9,1,9,"Ile bateryjek 4,5 V potrzebujemy połączyć w szereg, by uzyskać baterię anodową o napięciu 90 V?","15 szt.","10 szt.","20 szt."
10,1,10,"Ładunki elektryczne w przestrzeni przyciągają się jeżeli:","są jednoimienne","są różnoimienne","są daleko"
11,1,11,"Materiały ferromagnetyczne to materiały które przewodzą pole magnetyczne:","lepiej niż powietrze","tak jak powietrze","gorzej niż powietrze"
12,1,12,"Jaki kierunek przyjmuje pole magnetyczne wokół przewodnika z prądem?","jest prostopadłe do przewodu","jest do niego równoległe","jest ukośne do przewodu"
13,1,13,"Jeżeli składowa elektryczna fali jest prostopadła do ziemi to fala ma polaryzację?","poziomą","pionową","kołową"
14,1,14,"Czy prędkość fali elektromagnetycznej zależy od ośrodka w którym się rozchodzi?","tak","nie zależy","jest zawsze jednakowa"
15,1,15,"Długość fali wynosi 1500 metrów. Jaka jest częstotliwość tej fali?","2 MHz","200 kHz","233 kHz"
16,1,16,"Jaki zakres częstotliwości dźwięków wystarcza dla zrozumiałego nadawania mowy?","od 300 Hz do 3,2 kHz","od 100Hz do 5 kHz","od 20 Hz do 15 kHz"
17,1,17,"Nadajnik UKF ma kwarc kanałowy 12 MHz. Ile razy musi być powielony, by uzyskać 144 MHz?","16 razy","12 razy","18 razy"
18,1,18,"Modulacja telegraficzna CW polega na:","przerywaniu fali nośnej","zmianie jej częstotliwości","zmianie jej amplitudy"
19,1,19,"Kanał radiowy nadajnika telegraficznego CW jest:","bardzo szeroki","bardzo wąski","średni"
20,1,20,"Przy modulacji częstotliwości FM szerokość kanału radiowego dla nadajników amatorskich UKF wynosi:","12,5 kHz","50 kHz","200 kHz"
21,1,21,"Jaka jest szerokość kanału radiowego przy emisji SSB?","9 kHz","3,5 kHz","1,5 kHz"
22,1,22,"Amatorska telewizja z powolnym analizowaniem SSTV może być stosowana do łączności prowadzonych:","na duże odległości na falach krótkich","tylko na UKF","tylko w internecie"
23,1,23,"Która z podanych mocy PEP odpowiada napięciu maksymalnemu U max = 100 V, zmierzonemu oscyloskopem na wyjściu nadajnika, na obciążeniu 50 om?","200 W","100 W","50 W"
24,1,24,"Opornik warstwowy metalizowany jest wykonany jako:","metalowa warstwa oporowa na wałku ceramicznym","warstwa drutu oporowego nawiniętego na wałku ceramicznym","warstwa oporowa węglowa na wałku ceramicznym"
